ADAIR,2000,DEMOCRAT,AL GORE,1779,REPUBLICAN,GEORGE W. BUSH,5460,GREEN,RALPH NADER,48,OTHER,OTHER,41,
ADAIR,2004,DEMOCRAT,JOHN KERRY,1764,REPUBLICAN,GEORGE W. BUSH,5628,OTHER,OTHER,55,
ADAIR,2008,DEMOCRAT,BARACK OBAMA,1668,REPUBLICAN,JOHN MCCAIN,5512,OTHER,OTHER,118,
ADAIR,2012,DEMOCRAT,BARACK OBAMA,1660,REPUBLICAN,MITT ROMNEY,5841,OTHER,OTHER,99,
ADAIR,2016,DEMOCRAT,HILLARY CLINTON,1323,REPUBLICAN,DONALD TRUMP,6637,OTHER,OTHER,273,
ADAIR,2020,DEMOCRAT,JOSEPH R BIDEN JR,1392,LIBERTARIAN,JO JORGENSEN,60,OTHER,OTHER,35,REPUBLICAN,DONALD J TRUMP,7276,
ALLEN,2000,DEMOCRAT,AL GORE,1950,REPUBLICAN,GEORGE W. BUSH,4415,GREEN,RALPH NADER,31,OTHER,OTHER,33,
ALLEN,2004,DEMOCRAT,JOHN KERRY,1923,REPUBLICAN,GEORGE W. BUSH,5202,OTHER,OTHER,38,
ALLEN,2008,DEMOCRAT,BARACK OBAMA,2024,REPUBLICAN,JOHN MCCAIN,5258,OTHER,OTHER,108,
ALLEN,2012,DEMOCRAT,BARACK OBAMA,1808,REPUBLICAN,MITT ROMNEY,5184,OTHER,OTHER,108,
ALLEN,2016,DEMOCRAT,HILLARY CLINTON,1349,REPUBLICAN,DONALD TRUMP,6466,OTHER,OTHER,281,
ALLEN,2020,DEMOCRAT,JOSEPH R BIDEN JR,1642,LIBERTARIAN,JO JORGENSEN,99,OTHER,OTHER,36,REPUBLICAN,DONALD J TRUMP,7586,
ANDERSON,2000,DEMOCRAT,AL GORE,2902,REPUBLICAN,GEORGE W. BUSH,4909,GREEN,RALPH NADER,120,OTHER,OTHER,36,
ANDERSON,2004,DEMOCRAT,JOHN KERRY,3141,REPUBLICAN,GEORGE W. BUSH,6363,OTHER,OTHER,87,
ANDERSON,2008,DEMOCRAT,BARACK OBAMA,3462,REPUBLICAN,JOHN MCCAIN,6885,OTHER,OTHER,205,
ANDERSON,2012,DEMOCRAT,BARACK OBAMA,3315,REPUBLICAN,MITT ROMNEY,6822,OTHER,OTHER,183,
ANDERSON,2016,DEMOCRAT,HILLARY CLINTON,2634,REPUBLICAN,DONALD TRUMP,8242,OTHER,OTHER,546,
ANDERSON,2020,DEMOCRAT,JOSEPH R BIDEN JR,3347,LIBERTARIAN,JO JORGENSEN,183,OTHER,OTHER,53,REPUBLICAN,DONALD J TRUMP,9657,
BALLARD,2000,DEMOCRAT,AL GORE,1880,REPUBLICAN,GEORGE W. BUSH,1824,GREEN,RALPH NADER,23,OTHER,OTHER,43,
BALLARD,2004,DEMOCRAT,JOHN KERRY,1759,REPUBLICAN,GEORGE W. BUSH,2389,OTHER,OTHER,29,
BALLARD,2008,DEMOCRAT,BARACK OBAMA,1427,REPUBLICAN,JOHN MCCAIN,2537,OTHER,OTHER,96,
BALLARD,2012,DEMOCRAT,BARACK OBAMA,1189,REPUBLICAN,MITT ROMNEY,2647,OTHER,OTHER,59,
BALLARD,2016,DEMOCRAT,HILLARY CLINTON,816,REPUBLICAN,DONALD TRUMP,3161,OTHER,OTHER,124,
BALLARD,2020,DEMOCRAT,JOSEPH R BIDEN JR,825,LIBERTARIAN,JO JORGENSEN,32,OTHER,OTHER,12,REPUBLICAN,DONALD J TRUMP,3356,
BARREN,2000,DEMOCRAT,AL GORE,4930,REPUBLICAN,GEORGE W. BUSH,8741,GREEN,RALPH NADER,108,OTHER,OTHER,65,
BARREN,2004,DEMOCRAT,JOHN KERRY,5216,REPUBLICAN,GEORGE W. BUSH,10822,OTHER,OTHER,102,
BARREN,2008,DEMOCRAT,BARACK OBAMA,5434,REPUBLICAN,JOHN MCCAIN,11133,OTHER,OTHER,240,
BARREN,2012,DEMOCRAT,BARACK OBAMA,5400,REPUBLICAN,MITT ROMNEY,10922,OTHER,OTHER,246,
BARREN,2016,DEMOCRAT,HILLARY CLINTON,4275,REPUBLICAN,DONALD TRUMP,13483,OTHER,OTHER,730,
BARREN,2020,DEMOCRAT,JOSEPH R BIDEN JR,5127,LIBERTARIAN,JO JORGENSEN,201,OTHER,OTHER,73,REPUBLICAN,DONALD J TRUMP,14654,
BATH,2000,DEMOCRAT,AL GORE,2087,REPUBLICAN,GEORGE W. BUSH,2303,GREEN,RALPH NADER,49,OTHER,OTHER,34,
BATH,2004,DEMOCRAT,JOHN KERRY,2608,REPUBLICAN,GEORGE W. BUSH,2269,OTHER,OTHER,42,
BATH,2008,DEMOCRAT,BARACK OBAMA,2210,REPUBLICAN,JOHN MCCAIN,2234,OTHER,OTHER,99,
BATH,2012,DEMOCRAT,BARACK OBAMA,1770,REPUBLICAN,MITT ROMNEY,2275,OTHER,OTHER,77,
BATH,2016,DEMOCRAT,HILLARY CLINTON,1361,REPUBLICAN,DONALD TRUMP,3082,OTHER,OTHER,144,
BATH,2020,DEMOCRAT,JOSEPH R BIDEN JR,1573,LIBERTARIAN,JO JORGENSEN,44,OTHER,OTHER,24,REPUBLICAN,DONALD J TRUMP,3986,
BELL,2000,DEMOCRAT,AL GORE,4787,REPUBLICAN,GEORGE W. BUSH,5585,GREEN,RALPH NADER,102,OTHER,OTHER,137,
BELL,2004,DEMOCRAT,JOHN KERRY,4210,REPUBLICAN,GEORGE W. BUSH,6722,OTHER,OTHER,70,
BELL,2008,DEMOCRAT,BARACK OBAMA,2782,REPUBLICAN,JOHN MCCAIN,6681,OTHER,OTHER,135,
BELL,2012,DEMOCRAT,BARACK OBAMA,2224,REPUBLICAN,MITT ROMNEY,7127,OTHER,OTHER,131,
