ACADIA,2000,DEMOCRAT,AL GORE,8892,REPUBLICAN,GEORGE W. BUSH,13814,GREEN,RALPH NADER,227,OTHER,OTHER,305,
ACADIA,2004,DEMOCRAT,JOHN KERRY,8937,REPUBLICAN,GEORGE W. BUSH,16083,OTHER,OTHER,210,
ACADIA,2008,DEMOCRAT,BARACK OBAMA,7028,REPUBLICAN,JOHN MCCAIN,19228,OTHER,OTHER,454,
ACADIA,2012,DEMOCRAT,BARACK OBAMA,6560,REPUBLICAN,MITT ROMNEY,19931,OTHER,OTHER,344,
ACADIA,2016,DEMOCRAT,HILLARY CLINTON,5638,REPUBLICAN,DONALD TRUMP,21162,OTHER,OTHER,589,
ACADIA,2020,DEMOCRAT,JOSEPH R BIDEN JR,5443,LIBERTARIAN,JO JORGENSEN,241,OTHER,OTHER,145,REPUBLICAN,DONALD J TRUMP,22596,
ALLEN,2000,DEMOCRAT,AL GORE,3914,REPUBLICAN,GEORGE W. BUSH,4035,GREEN,RALPH NADER,115,OTHER,OTHER,228,
ALLEN,2004,DEMOCRAT,JOHN KERRY,3791,REPUBLICAN,GEORGE W. BUSH,5140,OTHER,OTHER,193,
ALLEN,2008,DEMOCRAT,BARACK OBAMA,2891,REPUBLICAN,JOHN MCCAIN,6333,OTHER,OTHER,243,
ALLEN,2012,DEMOCRAT,BARACK OBAMA,2617,REPUBLICAN,MITT ROMNEY,6495,OTHER,OTHER,195,
ALLEN,2016,DEMOCRAT,HILLARY CLINTON,2106,REPUBLICAN,DONALD TRUMP,6867,OTHER,OTHER,272,
ALLEN,2020,DEMOCRAT,JOSEPH R BIDEN JR,2108,LIBERTARIAN,JO JORGENSEN,73,OTHER,OTHER,55,REPUBLICAN,DONALD J TRUMP,7574,
ASCENSION,2000,DEMOCRAT,AL GORE,13385,REPUBLICAN,GEORGE W. BUSH,16818,GREEN,RALPH NADER,340,OTHER,OTHER,301,
ASCENSION,2004,DEMOCRAT,JOHN KERRY,13955,REPUBLICAN,GEORGE W. BUSH,24661,OTHER,OTHER,484,
ASCENSION,2008,DEMOCRAT,BARACK OBAMA,14625,REPUBLICAN,JOHN MCCAIN,31239,OTHER,OTHER,707,
ASCENSION,2012,DEMOCRAT,BARACK OBAMA,16349,REPUBLICAN,MITT ROMNEY,33856,OTHER,OTHER,868,
ASCENSION,2016,DEMOCRAT,HILLARY CLINTON,16476,REPUBLICAN,DONALD TRUMP,36143,OTHER,OTHER,2059,
ASCENSION,2020,DEMOCRAT,JOSEPH R BIDEN JR,20399,LIBERTARIAN,JO JORGENSEN,816,OTHER,OTHER,423,REPUBLICAN,DONALD J TRUMP,40687,
ASSUMPTION,2000,DEMOCRAT,AL GORE,5222,REPUBLICAN,GEORGE W. BUSH,4388,GREEN,RALPH NADER,119,OTHER,OTHER,324,
ASSUMPTION,2004,DEMOCRAT,JOHN KERRY,5585,REPUBLICAN,GEORGE W. BUSH,4966,OTHER,OTHER,184,
ASSUMPTION,2008,DEMOCRAT,BARACK OBAMA,4756,REPUBLICAN,JOHN MCCAIN,5981,OTHER,OTHER,223,
ASSUMPTION,2012,DEMOCRAT,BARACK OBAMA,4754,REPUBLICAN,MITT ROMNEY,6083,OTHER,OTHER,155,
ASSUMPTION,2016,DEMOCRAT,HILLARY CLINTON,3931,REPUBLICAN,DONALD TRUMP,6714,OTHER,OTHER,259,
ASSUMPTION,2020,DEMOCRAT,JOSEPH R BIDEN JR,3833,LIBERTARIAN,JO JORGENSEN,68,OTHER,OTHER,63,REPUBLICAN,DONALD J TRUMP,7271,
AVOYELLES,2000,DEMOCRAT,AL GORE,6701,REPUBLICAN,GEORGE W. BUSH,7329,GREEN,RALPH NADER,170,OTHER,OTHER,453,
AVOYELLES,2004,DEMOCRAT,JOHN KERRY,6976,REPUBLICAN,GEORGE W. BUSH,8302,OTHER,OTHER,247,
AVOYELLES,2008,DEMOCRAT,BARACK OBAMA,6327,REPUBLICAN,JOHN MCCAIN,10236,OTHER,OTHER,375,
