ADAMS,2000,DEMOCRAT,AL GORE,4826,REPUBLICAN,GEORGE W. BUSH,3920,GREEN,RALPH NADER,217,OTHER,OTHER,153,
ADAMS,2004,DEMOCRAT,JOHN KERRY,5447,REPUBLICAN,GEORGE W. BUSH,4890,OTHER,OTHER,119,
ADAMS,2008,DEMOCRAT,BARACK OBAMA,5806,REPUBLICAN,JOHN MCCAIN,3974,OTHER,OTHER,206,
ADAMS,2012,DEMOCRAT,BARACK OBAMA,5542,REPUBLICAN,MITT ROMNEY,4644,OTHER,OTHER,101,
ADAMS,2016,DEMOCRAT,HILLARY CLINTON,3770,REPUBLICAN,DONALD TRUMP,5983,OTHER,OTHER,411,
ADAMS,2020,DEMOCRAT,JOSEPH R BIDEN JR,4329,GREEN,OTHER,1,LIBERTARIAN,JO JORGENSEN,85,OTHER,OTHER,41,REPUBLICAN,DONALD J TRUMP,7362,
ASHLAND,2000,DEMOCRAT,AL GORE,4356,REPUBLICAN,GEORGE W. BUSH,3038,GREEN,RALPH NADER,440,OTHER,OTHER,56,
ASHLAND,2004,DEMOCRAT,JOHN KERRY,5805,REPUBLICAN,GEORGE W. BUSH,3313,OTHER,OTHER,81,
ASHLAND,2008,DEMOCRAT,BARACK OBAMA,5818,REPUBLICAN,JOHN MCCAIN,2634,OTHER,OTHER,122,
ASHLAND,2012,DEMOCRAT,BARACK OBAMA,5399,REPUBLICAN,MITT ROMNEY,2820,OTHER,OTHER,153,
ASHLAND,2016,DEMOCRAT,HILLARY CLINTON,4228,REPUBLICAN,DONALD TRUMP,3302,OTHER,OTHER,499,
ASHLAND,2020,DEMOCRAT,JOSEPH R BIDEN JR,4801,GREEN,OTHER,6,LIBERTARIAN,JO JORGENSEN,70,OTHER,OTHER,39,REPUBLICAN,DONALD J TRUMP,3841,
BARRON,2000,DEMOCRAT,AL GORE,8928,REPUBLICAN,GEORGE W. BUSH,9848,GREEN,RALPH NADER,1009,OTHER,OTHER,119,
BARRON,2004,DEMOCRAT,JOHN KERRY,11696,REPUBLICAN,GEORGE W. BUSH,12030,OTHER,OTHER,211,
BARRON,2008,DEMOCRAT,BARACK OBAMA,12078,REPUBLICAN,JOHN MCCAIN,10457,OTHER,OTHER,351,
BARRON,2012,DEMOCRAT,BARACK OBAMA,10890,REPUBLICAN,MITT ROMNEY,11443,OTHER,OTHER,359,
BARRON,2016,DEMOCRAT,HILLARY CLINTON,7879,REPUBLICAN,DONALD TRUMP,13606,OTHER,OTHER,1158,
BARRON,2020,DEMOCRAT,JOSEPH R BIDEN JR,9194,GREEN,OTHER,13,LIBERTARIAN,JO JORGENSEN,262,OTHER,OTHER,74,REPUBLICAN,DONALD J TRUMP,15803,
