ALBANY,2000,DEMOCRAT,AL GORE,5069,REPUBLICAN,GEORGE W. BUSH,7814,GREEN,RALPH NADER,988,OTHER,OTHER,280,
ALBANY,2004,DEMOCRAT,JOHN KERRY,7117,REPUBLICAN,GEORGE W. BUSH,9006,OTHER,OTHER,501,
ALBANY,2008,DEMOCRAT,BARACK OBAMA,8644,REPUBLICAN,JOHN MCCAIN,7936,OTHER,OTHER,621,
ALBANY,2012,DEMOCRAT,BARACK OBAMA,7458,REPUBLICAN,MITT ROMNEY,7866,OTHER,OTHER,976,
ALBANY,2016,DEMOCRAT,HILLARY CLINTON,6890,REPUBLICAN,DONALD TRUMP,7602,OTHER,OTHER,2568,
ALBANY,2020,DEMOCRAT,JOSEPH R BIDEN JR,9092,LIBERTARIAN,JO JORGENSEN,595,OTHER,OTHER,478,REPUBLICAN,DONALD J TRUMP,8579,
BIG HORN,2000,DEMOCRAT,AL GORE,1004,REPUBLICAN,GEORGE W. BUSH,3720,GREEN,RALPH NADER,40,OTHER,OTHER,154,
BIG HORN,2004,DEMOCRAT,JOHN KERRY,960,REPUBLICAN,GEORGE W. BUSH,4232,OTHER,OTHER,91,
BIG HORN,2008,DEMOCRAT,BARACK OBAMA,1108,REPUBLICAN,JOHN MCCAIN,4045,OTHER,OTHER,188,
BIG HORN,2012,DEMOCRAT,BARACK OBAMA,868,REPUBLICAN,MITT ROMNEY,4285,OTHER,OTHER,171,
BIG HORN,2016,DEMOCRAT,HILLARY CLINTON,604,REPUBLICAN,DONALD TRUMP,4067,OTHER,OTHER,646,
BIG HORN,2020,DEMOCRAT,JOSEPH R BIDEN JR,788,LIBERTARIAN,JO JORGENSEN,74,OTHER,OTHER,116,REPUBLICAN,DONALD J TRUMP,4806,
CAMPBELL,2000,DEMOCRAT,AL GORE,1967,REPUBLICAN,GEORGE W. BUSH,10203,GREEN,RALPH NADER,86,OTHER,OTHER,284,
CAMPBELL,2004,DEMOCRAT,JOHN KERRY,2464,REPUBLICAN,GEORGE W. BUSH,12415,OTHER,OTHER,220,
CAMPBELL,2008,DEMOCRAT,BARACK OBAMA,2990,REPUBLICAN,JOHN MCCAIN,13011,OTHER,OTHER,384,
CAMPBELL,2012,DEMOCRAT,BARACK OBAMA,2163,REPUBLICAN,MITT ROMNEY,14953,OTHER,OTHER,455,
CAMPBELL,2016,DEMOCRAT,HILLARY CLINTON,1324,REPUBLICAN,DONALD TRUMP,15778,OTHER,OTHER,1097,
CAMPBELL,2020,DEMOCRAT,JOSEPH R BIDEN JR,1935,LIBERTARIAN,JO JORGENSEN,434,OTHER,OTHER,391,REPUBLICAN,DONALD J TRUMP,16975,
CARBON,2000,DEMOCRAT,AL GORE,2206,REPUBLICAN,GEORGE W. BUSH,4498,GREEN,RALPH NADER,105,OTHER,OTHER,159,
CARBON,2004,DEMOCRAT,JOHN KERRY,2158,REPUBLICAN,GEORGE W. BUSH,4758,OTHER,OTHER,161,
CARBON,2008,DEMOCRAT,BARACK OBAMA,2336,REPUBLICAN,JOHN MCCAIN,4331,OTHER,OTHER,233,
CARBON,2012,DEMOCRAT,BARACK OBAMA,2110,REPUBLICAN,MITT ROMNEY,4148,OTHER,OTHER,251,
CARBON,2016,DEMOCRAT,HILLARY CLINTON,1279,REPUBLICAN,DONALD TRUMP,4409,OTHER,OTHER,686,
CARBON,2020,DEMOCRAT,JOSEPH R BIDEN JR,1427,LIBERTARIAN,JO JORGENSEN,142,OTHER,OTHER,123,REPUBLICAN,DONALD J TRUMP,5014,
CONVERSE,2000,DEMOCRAT,AL GORE,1076,REPUBLICAN,GEORGE W. BUSH,3919,GREEN,RALPH NADER,32,OTHER,OTHER,148,
CONVERSE,2004,DEMOCRAT,JOHN KERRY,1184,REPUBLICAN,GEORGE W. BUSH,4447,OTHER,OTHER,94,
CONVERSE,2008,DEMOCRAT,BARACK OBAMA,1380,REPUBLICAN,JOHN MCCAIN,4922,OTHER,OTHER,199,
CONVERSE,2012,DEMOCRAT,BARACK OBAMA,1089,REPUBLICAN,MITT ROMNEY,5043,OTHER,OTHER,211,
CONVERSE,2016,DEMOCRAT,HILLARY CLINTON,668,REPUBLICAN,DONALD TRUMP,5520,OTHER,OTHER,466,
CONVERSE,2020,DEMOCRAT,JOSEPH R BIDEN JR,861,LIBERTARIAN,JO JORGENSEN,121,OTHER,OTHER,111,REPUBLICAN,DONALD J TRUMP,5917,
CROOK,2000,DEMOCRAT,AL GORE,361,REPUBLICAN,GEORGE W. BUSH,2289,GREEN,RALPH NADER,32,OTHER,OTHER,56,
CROOK,2004,DEMOCRAT,JOHN KERRY,501,REPUBLICAN,GEORGE W. BUSH,2836,OTHER,OTHER,59,
CROOK,2008,DEMOCRAT,BARACK OBAMA,612,REPUBLICAN,JOHN MCCAIN,2967,OTHER,OTHER,127,
CROOK,2012,DEMOCRAT,BARACK OBAMA,426,REPUBLICAN,MITT ROMNEY,3109,OTHER,OTHER,150,
CROOK,2016,DEMOCRAT,HILLARY CLINTON,273,REPUBLICAN,DONALD TRUMP,3348,OTHER,OTHER,205,
CROOK,2020,DEMOCRAT,JOSEPH R BIDEN JR,378,LIBERTARIAN,JO JORGENSEN,57,OTHER,OTHER,57,REPUBLICAN,DONALD J TRUMP,3651,
FREMONT,2000,DEMOCRAT,AL GORE,4172,REPUBLICAN,GEORGE W. BUSH,10560,GREEN,RALPH NADER,304,OTHER,OTHER,408,
FREMONT,2004,DEMOCRAT,JOHN KERRY,5338,REPUBLICAN,GEORGE W. BUSH,11429,OTHER,OTHER,329,
FREMONT,2008,DEMOCRAT,BARACK OBAMA,6016,REPUBLICAN,JOHN MCCAIN,11083,OTHER,OTHER,616,
FREMONT,2012,DEMOCRAT,BARACK OBAMA,5333,REPUBLICAN,MITT ROMNEY,11075,OTHER,OTHER,531,
FREMONT,2016,DEMOCRAT,HILLARY CLINTON,4200,REPUBLICAN,DONALD TRUMP,11167,OTHER,OTHER,1656,
FREMONT,2020,DEMOCRAT,JOSEPH R BIDEN JR,5519,LIBERTARIAN,JO JORGENSEN,321,OTHER,OTHER,387,REPUBLICAN,DONALD J TRUMP,12007,
GOSHEN,2000,DEMOCRAT,AL GORE,1439,REPUBLICAN,GEORGE W. BUSH,3922,GREEN,RALPH NADER,27,OTHER,OTHER,132,
GOSHEN,2004,DEMOCRAT,JOHN KERRY,1566,REPUBLICAN,GEORGE W. BUSH,4114,OTHER,OTHER,99,
GOSHEN,2008,DEMOCRAT,BARACK OBAMA,1832,REPUBLICAN,JOHN MCCAIN,3942,OTHER,OTHER,191,
GOSHEN,2012,DEMOCRAT,BARACK OBAMA,1458,REPUBLICAN,MITT ROMNEY,4178,OTHER,OTHER,170,
GOSHEN,2016,DEMOCRAT,HILLARY CLINTON,924,REPUBLICAN,DONALD TRUMP,4418,OTHER,OTHER,454,
GOSHEN,2020,DEMOCRAT,JOSEPH R BIDEN JR,1203,LIBERTARIAN,JO JORGENSEN,86,OTHER,OTHER,105,REPUBLICAN,DONALD J TRUMP,4878,
HOT SPRINGS,2000,DEMOCRAT,AL GORE,544,REPUBLICAN,GEORGE W. BUSH,1733,GREEN,RALPH NADER,13,OTHER,OTHER,62,
HOT SPRINGS,2004,DEMOCRAT,JOHN KERRY,623,REPUBLICAN,GEORGE W. BUSH,1812,OTHER,OTHER,45,
HOT SPRINGS,2008,DEMOCRAT,BARACK OBAMA,619,REPUBLICAN,JOHN MCCAIN,1834,OTHER,OTHER,111,
HOT SPRINGS,2012,DEMOCRAT,BARACK OBAMA,523,REPUBLICAN,MITT ROMNEY,1895,OTHER,OTHER,97,
HOT SPRINGS,2016,DEMOCRAT,HILLARY CLINTON,400,REPUBLICAN,DONALD TRUMP,1939,OTHER,OTHER,247,
HOT SPRINGS,2020,DEMOCRAT,JOSEPH R BIDEN JR,482,LIBERTARIAN,JO JORGENSEN,61,OTHER,OTHER,46,REPUBLICAN,DONALD J TRUMP,1999,
JOHNSON,2000,DEMOCRAT,AL GORE,555,REPUBLICAN,GEORGE W. BUSH,2886,GREEN,RALPH NADER,33,OTHER,OTHER,76,
JOHNSON,2004,DEMOCRAT,JOHN KERRY,676,REPUBLICAN,GEORGE W. BUSH,3231,OTHER,OTHER,84,
JOHNSON,2008,DEMOCRAT,BARACK OBAMA,908,REPUBLICAN,JOHN MCCAIN,3334,OTHER,OTHER,133,
JOHNSON,2012,DEMOCRAT,BARACK OBAMA,749,REPUBLICAN,MITT ROMNEY,3363,OTHER,OTHER,147,
JOHNSON,2016,DEMOCRAT,HILLARY CLINTON,638,REPUBLICAN,DONALD TRUMP,3477,OTHER,OTHER,302,
JOHNSON,2020,DEMOCRAT,JOSEPH R BIDEN JR,897,LIBERTARIAN,JO JORGENSEN,86,OTHER,OTHER,88,REPUBLICAN,DONALD J TRUMP,3881,
LARAMIE,2000,DEMOCRAT,AL GORE,12162,REPUBLICAN,GEORGE W. BUSH,21797,GREEN,RALPH NADER,608,OTHER,OTHER,756,
LARAMIE,2004,DEMOCRAT,JOHN KERRY,13171,REPUBLICAN,GEORGE W. BUSH,25951,OTHER,OTHER,757,
